Fecha,Equipo,Consumo_kWh,Horas_Operativas,Fallas_Detectadas
2026-04-01,Motor_Principal,524,21,0
2026-04-01,Compresor_A,320,20,0
2026-04-01,Bomba_Agua,156,22,0
2026-04-01,Ventilador_Norte,113,24,0
2026-04-01,Generador_Respaldo,74,5,0
2026-04-01,Banda_Transportadora,186,16,0
2026-04-02,Motor_Principal,442,23,0
2026-04-02,Compresor_A,271,18,0
2026-04-02,Bomba_Agua,168,23,0
2026-04-02,Ventilador_Norte,117,23,0
2026-04-02,Generador_Respaldo,96,2,0
2026-04-02,Banda_Transportadora,193,17,2
2026-04-03,Motor_Principal,473,24,0
2026-04-03,Compresor_A,328,15,0
2026-04-03,Bomba_Agua,156,22,0
2026-04-03,Ventilador_Norte,96,20,0
2026-04-03,Generador_Respaldo,90,4,0
2026-04-03,Banda_Transportadora,231,15,0
2026-04-04,Motor_Principal,568,21,0
2026-04-04,Compresor_A,249,19,0
2026-04-04,Bomba_Agua,155,22,0
2026-04-04,Ventilador_Norte,130,24,0
2026-04-04,Generador_Respaldo,79,2,0
2026-04-04,Banda_Transportadora,211,13,0
2026-04-05,Motor_Principal,468,20,0
2026-04-05,Compresor_A,312,16,0
2026-04-05,Bomba_Agua,118,24,0
2026-04-05,Ventilador_Norte,86,24,0
2026-04-05,Generador_Respaldo,88,2,0
2026-04-05,Banda_Transportadora,211,14,0
2026-04-06,Motor_Principal,492,21,0
2026-04-06,Compresor_A,304,18,0
2026-04-06,Bomba_Agua,134,24,0
2026-04-06,Ventilador_Norte,104,24,0
2026-04-06,Generador_Respaldo,70,4,0
2026-04-06,Banda_Transportadora,241,14,0
2026-04-07,Motor_Principal,418,20,0
2026-04-07,Compresor_A,322,18,0
2026-04-07,Bomba_Agua,180,20,0
2026-04-07,Ventilador_Norte,103,20,0
2026-04-07,Generador_Respaldo,80,2,0
2026-04-07,Banda_Transportadora,210,17,0
2026-04-08,Motor_Principal,488,24,0
2026-04-08,Compresor_A,319,19,3
2026-04-08,Bomba_Agua,147,23,0
2026-04-08,Ventilador_Norte,113,23,0
2026-04-08,Generador_Respaldo,90,2,0
2026-04-08,Banda_Transportadora,200,16,1
2026-04-09,Motor_Principal,582,20,0
2026-04-09,Compresor_A,390,19,0
2026-04-09,Bomba_Agua,140,24,0
2026-04-09,Ventilador_Norte,99,24,0
2026-04-09,Generador_Respaldo,77,0,0
2026-04-09,Banda_Transportadora,206,16,1
2026-04-10,Motor_Principal,380,23,0
2026-04-10,Compresor_A,337,18,0
2026-04-10,Bomba_Agua,120,22,0
2026-04-10,Ventilador_Norte,122,22,0
2026-04-10,Generador_Respaldo,76,5,0
2026-04-10,Banda_Transportadora,136,14,0
2026-04-11,Motor_Principal,356,23,0
2026-04-11,Compresor_A,327,19,0
2026-04-11,Bomba_Agua,169,24,0
2026-04-11,Ventilador_Norte,99,24,0
2026-04-11,Generador_Respaldo,95,2,2
2026-04-11,Banda_Transportadora,194,19,0
2026-04-12,Motor_Principal,419,20,0
2026-04-12,Compresor_A,311,17,0
2026-04-12,Bomba_Agua,162,24,0
2026-04-12,Ventilador_Norte,112,24,0
2026-04-12,Generador_Respaldo,70,0,0
2026-04-12,Banda_Transportadora,225,12,0
2026-04-13,Motor_Principal,415,20,0
2026-04-13,Compresor_A,305,17,0
2026-04-13,Bomba_Agua,129,24,0
2026-04-13,Ventilador_Norte,105,24,0
2026-04-13,Generador_Respaldo,99,1,0
2026-04-13,Banda_Transportadora,173,13,0
2026-04-14,Motor_Principal,445,22,0
2026-04-14,Compresor_A,328,20,0
2026-04-14,Bomba_Agua,153,24,0
2026-04-14,Ventilador_Norte,121,23,0
2026-04-14,Generador_Respaldo,75,7,0
2026-04-14,Banda_Transportadora,203,16,0
2026-04-15,Motor_Principal,505,21,0
2026-04-15,Compresor_A,339,17,3
2026-04-15,Bomba_Agua,151,24,0
2026-04-15,Ventilador_Norte,111,24,0
2026-04-15,Generador_Respaldo,93,0,0
2026-04-15,Banda_Transportadora,209,14,3
2026-04-16,Motor_Principal,499,23,0
2026-04-16,Compresor_A,291,16,0
2026-04-16,Bomba_Agua,147,23,0
2026-04-16,Ventilador_Norte,115,24,0
2026-04-16,Generador_Respaldo,94,3,0
2026-04-16,Banda_Transportadora,193,12,0
2026-04-17,Motor_Principal,394,22,0
2026-04-17,Compresor_A,317,17,0
2026-04-17,Bomba_Agua,152,22,0
2026-04-17,Ventilador_Norte,96,24,0
2026-04-17,Generador_Respaldo,94,5,0
2026-04-17,Banda_Transportadora,225,16,0
2026-04-18,Motor_Principal,434,24,0
2026-04-18,Compresor_A,312,16,3
2026-04-18,Bomba_Agua,153,24,0
2026-04-18,Ventilador_Norte,122,24,0
2026-04-18,Generador_Respaldo,97,6,0
2026-04-18,Banda_Transportadora,201,16,0
2026-04-19,Motor_Principal,476,18,0
2026-04-19,Compresor_A,346,20,0
2026-04-19,Bomba_Agua,180,24,0
2026-04-19,Ventilador_Norte,108,24,0
2026-04-19,Generador_Respaldo,88,3,3
2026-04-19,Banda_Transportadora,213,16,0
2026-04-20,Motor_Principal,388,20,3
2026-04-20,Compresor_A,312,17,0
2026-04-20,Bomba_Agua,154,19,0
2026-04-20,Ventilador_Norte,117,23,0
2026-04-20,Generador_Respaldo,74,4,0
2026-04-20,Banda_Transportadora,203,17,0
2026-04-21,Motor_Principal,461,23,0
2026-04-21,Compresor_A,331,17,0
2026-04-21,Bomba_Agua,148,24,0
2026-04-21,Ventilador_Norte,116,22,0
2026-04-21,Generador_Respaldo,105,4,0
2026-04-21,Banda_Transportadora,210,13,0
2026-04-22,Motor_Principal,436,22,0
2026-04-22,Compresor_A,298,20,0
2026-04-22,Bomba_Agua,128,24,0
2026-04-22,Ventilador_Norte,95,21,0
2026-04-22,Generador_Respaldo,75,4,0
2026-04-22,Banda_Transportadora,221,17,1
2026-04-23,Motor_Principal,415,22,0
2026-04-23,Compresor_A,327,14,0
2026-04-23,Bomba_Agua,164,24,0
2026-04-23,Ventilador_Norte,111,24,0
2026-04-23,Generador_Respaldo,90,8,0
2026-04-23,Banda_Transportadora,218,15,1
2026-04-24,Motor_Principal,491,21,0
2026-04-24,Compresor_A,309,14,0
2026-04-24,Bomba_Agua,168,23,0
2026-04-24,Ventilador_Norte,91,19,0
2026-04-24,Generador_Respaldo,84,5,0
2026-04-24,Banda_Transportadora,239,15,3
2026-04-25,Motor_Principal,488,20,0
2026-04-25,Compresor_A,342,18,3
2026-04-25,Bomba_Agua,159,18,0
2026-04-25,Ventilador_Norte,108,24,0
2026-04-25,Generador_Respaldo,81,4,0
2026-04-25,Banda_Transportadora,227,15,0
2026-04-26,Motor_Principal,406,21,0
2026-04-26,Compresor_A,280,18,0
2026-04-26,Bomba_Agua,157,24,0
2026-04-26,Ventilador_Norte,119,24,0
2026-04-26,Generador_Respaldo,77,4,0
2026-04-26,Banda_Transportadora,192,18,0
